T, 1.813799, 4
T, 1.966317, 8
T, 1.992684, 16
T, 1.998288, 32
T, 1.999586, 64
T, 1.999898, 128
T, 1.999975, 256
T, 1.999994, 512
T, 1.999998, 1024
T, 2.000000, 2048
T, 2.000000, 4096
T, 2.000000, 8192
T, 2.000000, 16384
T, 2.000000, 32768
T, 2.000000, 65536
T, 2.000000, 131072
T, 2.000000, 262144
T, 2.000000, 524288
T, 2.000000, 1048576
T, 2.000000, 2097152
M, 2.079991, 4
M, 2.379108, 8
M, 1.821027, 16
M, 1.913949, 32
M, 2.076727, 64
M, 1.916895, 128
M, 2.111883, 256
M, 2.032294, 512
M, 1.950651, 1024
M, 2.005342, 2048
M, 1.995975, 4096
M, 2.011770, 8192
M, 1.993919, 16384
M, 1.999671, 32768
M, 2.002663, 65536
M, 2.002987, 131072
M, 2.000182, 262144
M, 1.999825, 524288
M, 2.001533, 1048576
M, 1.999448, 2097152
